,champ,role,side,x,y,second
438,aphelios,adc,red,0.9261744966442953,0.6493506493506493,69
437,corki,mid,red,0.6577181208053692,0.4805194805194805,69
436,trundle,jgl,red,0.5570469798657718,0.2857142857142857,69
435,ornn,top,red,,,69
431,gragas,jgl,blue,0.3288590604026846,0.461038961038961,69
433,missfortune,adc,blue,,,69
432,azir,mid,blue,0.4966442953020134,0.525974025974026,69
430,zac,top,blue,0.2080536912751678,0.22077922077922077,69
434,braum,sup,blue,,,69
446,trundle,jgl,red,0.5570469798657718,0.2597402597402597,70
449,janna,sup,red,0.8456375838926175,0.551948051948052,70
448,aphelios,adc,red,0.9463087248322147,0.6623376623376623,70
447,corki,mid,red,,,70
445,ornn,top,red,,,70
441,gragas,jgl,blue,0.3087248322147651,0.4805194805194805,70
443,missfortune,adc,blue,,,70
442,azir,mid,blue,0.5033557046979866,0.5324675324675324,70
440,zac,top,blue,0.2080536912751678,0.21428571428571427,70
444,braum,sup,blue,,,70
459,janna,sup,red,0.825503355704698,0.551948051948052,71
458,aphelios,adc,red,0.959731543624161,0.6688311688311688,71
457,corki,mid,red,0.6912751677852349,0.512987012987013,71
456,trundle,jgl,red,0.5436241610738255,0.24675324675324675,71
455,ornn,top,red,,,71
454,braum,sup,blue,,,71
452,azir,mid,blue,0.5100671140939598,0.551948051948052,71
451,gragas,jgl,blue,0.28859060402684567,0.4935064935064935,71
450,zac,top,blue,0.2080536912751678,0.21428571428571427,71
453,missfortune,adc,blue,,,71
467,corki,mid,red,0.7114093959731543,0.525974025974026,72
469,janna,sup,red,,,72
468,aphelios,adc,red,0.959731543624161,0.6688311688311688,72
465,ornn,top,red,,,72
466,trundle,jgl,red,0.5234899328859061,0.23376623376623376,72
463,missfortune,adc,blue,,,72
464,braum,sup,blue,,,72
462,azir,mid,blue,0.5234899328859061,0.5714285714285714,72
461,gragas,jgl,blue,0.2684563758389262,0.5,72
460,zac,top,blue,0.2080536912751678,0.21428571428571427,72
479,janna,sup,red,,,73
478,aphelios,adc,red,,,73
477,corki,mid,red,0.7114093959731543,0.5454545454545454,73
476,trundle,jgl,red,0.4966442953020134,0.22077922077922077,73
475,ornn,top,red,,,73
474,braum,sup,blue,,,73
473,missfortune,adc,blue,,,73
472,azir,mid,blue,0.5369127516778524,0.5909090909090909,73
471,gragas,jgl,blue,0.2483221476510067,0.512987012987013,73
470,zac,top,blue,0.2080536912751678,0.21428571428571427,73
488,aphelios,adc,red,,,74
487,corki,mid,red,,,74
