renekton,cassiopeia,Seconds
"(64.0, 83.0)","(92.0, 53.0)",380
"(64.0, 83.0)","(97.0, 48.0)",381
"(65.0, 82.0)","(102.0, 43.0)",382
"(66.0, 82.0)","(107.0, 38.0)",383
"(66.0, 82.0)","(112.0, 33.0)",384
"(67.0, 82.0)","(117.0, 28.0)",385
"(67.0, 82.0)","(122.0, 23.0)",386
"(68.0, 82.0)","(127.0, 18.0)",387
"(71.0, 79.0)","(132.0, 13.0)",388
"(74.0, 77.0)","(130.0, 14.0)",389
"(77.0, 75.0)","(127.0, 16.0)",390
"(77.0, 74.0)","(124.0, 18.0)",391
"(77.0, 73.0)","(121.0, 21.0)",392
"(77.0, 73.0)","(119.0, 24.0)",393
"(77.0, 72.0)","(117.0, 27.0)",394
"(76.0, 72.0)","(114.0, 29.0)",395
"(76.0, 71.0)","(112.0, 32.0)",396
"(78.0, 71.0)","(109.0, 35.0)",397
"(75.0, 73.0)","(107.0, 38.0)",398
"(73.0, 75.0)","(96.0, 83.0)",399
"(70.0, 77.0)","(90.0, 83.0)",400
"(68.0, 79.0)","(85.0, 83.0)",401
"(65.0, 81.0)","(88.0, 85.0)",402
"(63.0, 83.0)","(91.0, 87.0)",403
"(60.0, 85.0)","(94.0, 89.0)",404
"(60.0, 85.0)","(98.0, 91.0)",405
"(61.0, 84.0)","(101.0, 93.0)",406
"(61.0, 84.0)","(103.0, 96.0)",407
"(62.0, 83.0)","(106.0, 99.0)",408
"(62.0, 83.0)","(109.0, 101.0)",409
"(63.0, 83.0)","(111.0, 104.0)",410
"(64.0, 82.0)","(112.0, 108.0)",411
"(65.0, 82.0)","(112.0, 108.0)",412
"(65.0, 81.0)","(112.0, 107.0)",413
"(67.0, 80.0)","(111.0, 107.0)",414
"(70.0, 78.0)","(111.0, 106.0)",415
"(74.0, 76.0)","(111.0, 106.0)",416
"(76.0, 74.0)","(111.0, 105.0)",417
"(78.0, 73.0)","(110.0, 105.0)",418
"(78.0, 74.0)","(110.0, 104.0)",419
"(77.0, 74.0)","(110.0, 104.0)",420
